Date,Price,Open,High,Low,Vol.,Change %
Jul-12,1379.32,1362.33,1391.74,1325.41,-,0.0126
Jun-12,1362.16,1309.87,1363.46,1266.74,-,0.0396
May-12,1310.33,1397.86,1415.32,1291.98,-,-0.0627
Apr-12,1397.91,1408.47,1422.38,1357.38,-,-0.0075
Mar-12,1408.47,1365.90,1419.15,1340.03,-,0.0313
Feb-12,1365.68,1312.45,1378.04,1312.45,-,0.0406
Jan-12,1312.41,1258.86,1333.47,1258.86,-,0.0436
Dec-11,1257.60,1246.91,1269.37,1202.37,-,0.0085
Nov-11,1246.96,1251.00,1277.55,1158.66,-,-0.0051
Oct-11,1253.30,1131.21,1292.66,1074.77,-,0.1077
Sep-11,1131.42,1219.12,1229.29,1114.22,-,-0.0718
Aug-11,1218.89,1292.59,1307.38,1101.54,-,-0.0568
Jul-11,1292.28,1320.64,1356.48,1282.86,-,-0.0215
Jun-11,1320.64,1345.20,1345.20,1258.07,-,-0.0183
May-11,1345.20,1365.21,1370.58,1311.80,-,-0.0135
Apr-11,1363.61,1329.48,1364.56,1294.70,-,0.0285
Mar-11,1325.83,1328.64,1332.28,1249.05,-,-0.0010
Feb-11,1327.22,1289.14,1344.07,1289.14,-,0.0320
Jan-11,1286.12,1257.62,1302.67,1257.62,-,0.0226
Dec-10,1257.64,1186.60,1262.60,1186.60,-,0.0653
Nov-10,1180.55,1185.71,1227.08,1173.00,-,-0.0023
Oct-10,1183.26,1143.49,1196.14,1131.87,-,0.0369
Sep-10,1141.20,1049.72,1157.16,1049.72,-,0.0876
Aug-10,1049.33,1107.53,1129.24,1039.70,-,-0.0474
Jul-10,1101.60,1031.10,1120.95,1010.91,-,0.0688
Jun-10,1030.71,1087.30,1131.23,1028.33,-,-0.0539
May-10,1089.41,1188.58,1205.13,1040.78,-,-0.0820
Apr-10,1186.69,1171.23,1219.80,1170.69,-,0.0148
Mar-10,1169.43,1105.36,1180.69,1105.36,-,0.0588
